px_true,py_true,vx_true,vy_true,yaw_true,px_estimate,py_estimate,vx_estimate,vy_estimate,yaw_estimate,Sensor Type,NIS
-21.2198,-8.9099,-4.4519,1.8597,2.7459,-21.1987,-8.8263,-4.5281,1.7111,2.7803,L,1.6965
-21.4412,-8.8139,-4.3986,1.9767,2.7193,-21.4315,-8.7341,-4.4801,1.8512,2.7497,R,1.7929
-21.6597,-8.7122,-4.3422,2.0925,2.6925,-21.6310,-8.7072,-4.4388,1.8160,2.7532,L,2.5666
-21.8754,-8.6047,-4.2827,2.2071,2.6657,-21.8242,-8.5462,-4.2626,2.1864,2.6677,R,6.2492
-22.0881,-8.4914,-4.2201,2.3204,2.6389,-22.0268,-8.4728,-4.2094,2.2310,2.6542,L,0.7158
-22.2975,-8.3726,-4.1544,2.4323,2.6119,-22.2383,-8.3634,-4.1856,2.2828,2.6423,R,2.0776
-22.5035,-8.2482,-4.0856,2.5427,2.5849,-22.4642,-8.2752,-4.1637,2.3268,2.6320,L,1.1011
-22.7061,-8.1183,-4.0139,2.6515,2.5578,-22.6582,-8.1498,-4.0685,2.4719,2.5956,R,0.9817
-22.9049,-7.9830,-3.9392,2.7585,2.5307,-22.8770,-7.9296,-3.9638,2.7575,2.5338,L,4.6293
-23.1000,-7.8424,-3.8616,2.8637,2.5035,-23.0675,-7.7758,-3.8051,2.9728,2.4784,R,3.0075
-23.2911,-7.6966,-3.7812,2.9670,2.4763,-23.2856,-7.6100,-3.7397,3.1099,2.4479,L,2.0157
-23.4781,-7.5457,-3.6979,3.0683,2.4490,-23.4880,-7.4752,-3.7609,3.0878,2.4542,R,2.1684
-23.6609,-7.3898,-3.6119,3.1675,2.4217,-23.6553,-7.3281,-3.6568,3.1774,2.4262,L,0.7381
-23.8393,-7.2290,-3.5232,3.2645,2.3943,-23.8462,-7.1707,-3.6152,3.2350,2.4116,R,0.9372
-24.0132,-7.0634,-3.4319,3.3592,2.3669,-24.0146,-7.0683,-3.5548,3.2258,2.4047,L,2.4831
-24.1825,-6.8931,-3.3380,3.4515,2.3395,-24.1806,-6.8851,-3.4227,3.3743,2.3633,R,1.8758
-24.3470,-6.7182,-3.2417,3.5414,2.3120,-24.3333,-6.6465,-3.2636,3.5791,2.3101,L,2.9307
-24.5066,-6.5390,-3.1429,3.6287,2.2846,-24.5002,-6.4702,-3.1364,3.6925,2.2749,R,3.4191
-24.6612,-6.3554,-3.0418,3.7135,2.2571,-24.6048,-6.3154,-2.9712,3.7490,2.2410,L,5.6161
-24.8107,-6.1676,-2.9385,3.7955,2.2296,-24.7467,-6.1244,-2.8601,3.8326,2.2119,R,0.3184
-24.9550,-5.9759,-2.8330,3.8748,2.2021,-24.9244,-5.9314,-2.8062,3.9043,2.1940,L,2.5600
-25.0940,-5.7802,-2.7254,3.9513,2.1746,-25.0555,-5.7270,-2.6975,3.9824,2.1662,R,1.8492
-25.2276,-5.5808,-2.6158,4.0249,2.1471,-25.1899,-5.5523,-2.6040,4.0196,2.1456,L,0.4788
-25.3556,-5.3778,-2.5043,4.0956,2.1196,-25.3447,-5.3667,-2.6134,4.0161,2.1477,R,1.2444
-25.4779,-5.1713,-2.3911,4.1632,2.0921,-25.4867,-5.1523,-2.5318,4.0909,2.1250,L,0.5082
-25.5946,-4.9615,-2.2761,4.2278,2.0647,-25.6203,-4.9699,-2.5313,4.0730,2.1269,R,6.0985
-25.7055,-4.7486,-2.1596,4.2893,2.0372,-25.7390,-4.7934,-2.4508,4.0881,2.1108,L,0.7346
-25.8105,-4.5327,-2.0415,4.3476,2.0098,-25.8582,-4.5866,-2.3706,4.1360,2.0913,R,0.1140
-25.9096,-4.3139,-1.9220,4.4028,1.9824,-25.9694,-4.3545,-2.2649,4.2172,2.0637,L,0.4564
-26.0027,-4.0925,-1.8012,4.4547,1.9550,-26.0747,-4.1339,-2.0139,4.3486,2.0045,R,11.4473
-26.0897,-3.8686,-1.6793,4.5034,1.9277,-26.1609,-3.8643,-1.8478,4.4680,1.9629,L,2.0753
-26.1706,-3.6423,-1.5562,4.5487,1.9004,-26.2331,-3.6295,-1.5690,4.5774,1.9010,R,3.2280
-26.2453,-3.4138,-1.4322,4.5908,1.8732,-26.2575,-3.3638,-1.3085,4.6704,1.8440,L,4.3780
-26.3138,-3.1833,-1.3073,4.6295,1.8460,-26.3080,-3.1240,-1.0899,4.7283,1.7973,R,0.1876
-26.3760,-2.9510,-1.1816,4.6649,1.8189,-26.3293,-2.8830,-0.8663,4.7662,1.7506,L,1.2708
-26.4319,-2.7170,-1.0553,4.6970,1.7918,-26.3910,-2.6570,-0.7985,4.7704,1.7366,R,1.6942
-26.4815,-2.4814,-0.9284,4.7256,1.7648,-26.4689,-2.4834,-0.7403,4.7268,1.7261,L,5.8877
-26.5247,-2.2446,-0.8011,4.7509,1.7378,-26.5268,-2.2478,-0.7068,4.7350,1.7190,R,1.2336
-26.5616,-2.0065,-0.6734,4.7728,1.7110,-26.5774,-2.0432,-0.6119,4.7197,1.6997,L,1.3907
-26.5921,-1.7674,-0.5456,4.7914,1.6842,-26.6097,-1.8045,-0.5525,4.7279,1.6871,R,1.9911
-26.6161,-1.5275,-0.4176,4.8066,1.6574,-26.6073,-1.5600,-0.3759,4.7468,1.6498,L,1.0856
-26.6338,-1.2869,-0.2895,4.8185,1.6308,-26.6032,-1.3272,-0.1496,4.7532,1.6023,R,1.7076
-26.6451,-1.0459,-0.1616,4.8271,1.6043,-26.6062,-1.0998,-0.0093,4.7445,1.5727,L,0.1036
-26.6500,-0.8044,-0.0339,4.8324,1.5778,-26.6367,-0.8708,0.0441,4.7399,1.5615,R,5.2317
-26.6485,-0.5628,0.0935,4.8344,1.5514,-26.6478,-0.6270,0.1470,4.7479,1.5398,L,0.4610
-26.6406,-0.3212,0.2206,4.8332,1.5252,-26.6340,-0.3872,0.3526,4.7437,1.4966,R,2.2063
-26.6264,-0.0797,0.3471,4.8287,1.4990,-26.5871,-0.1102,0.5498,4.7667,1.4560,L,2.5202
-26.6059,0.1615,0.4730,4.8212,1.4730,-26.5683,0.1270,0.6909,4.7500,1.4264,R,2.7409
-26.5792,0.4022,0.5983,4.8104,1.4471,-26.5447,0.4043,0.8140,4.7760,1.4020,L,1.9197
-26.5462,0.6423,0.7227,4.7967,1.4212,-26.5339,0.6426,0.8209,4.7703,1.4004,R,1.7497
-26.5069,0.8817,0.8463,4.7799,1.3956,-26.5287,0.9154,0.8760,4.7989,1.3902,L,3.3016
-26.4616,1.1201,0.9690,4.7601,1.3700,-26.4913,1.1691,0.8760,4.8081,1.3906,R,6.8038
-26.4101,1.3575,1.0905,4.7374,1.3445,-26.4375,1.4112,0.9942,4.7882,1.3661,L,0.0866
-26.3526,1.5936,1.2110,4.7118,1.3192,-26.3971,1.6350,1.0475,4.7574,1.3541,R,7.8918
-26.2891,1.8284,1.3302,4.6834,1.2941,-26.3448,1.8570,1.1417,4.7185,1.3334,L,0.2354
-26.2197,2.0617,1.4481,4.6524,1.2690,-26.2743,2.0873,1.3081,4.6740,1.2979,R,0.4265
-26.1444,2.2934,1.5647,4.6186,1.2442,-26.2130,2.2942,1.4029,4.6160,1.2757,L,0.7305
-26.0633,2.5234,1.6798,4.5822,1.2194,-26.1494,2.5249,1.4422,4.6000,1.2670,R,0.5044
-25.9765,2.7514,1.7934,4.5433,1.1948,-26.0735,2.7641,1.5396,4.5802,1.2465,L,0.1058
-25.8841,2.9775,1.9054,4.5020,1.1704,-25.9756,2.9847,1.7903,4.4920,1.1915,R,3.2145
-25.7861,3.2014,2.0158,4.4583,1.1462,-25.8764,3.2488,1.9149,4.4898,1.1677,L,1.7049
-25.6826,3.4231,2.1245,4.4123,1.1221,-25.7938,3.4763,2.0091,4.4502,1.1467,R,2.1136
-25.5737,3.6424,2.2315,4.3640,1.0981,-25.6865,3.6851,2.1302,4.3803,1.1182,L,0.1598
-25.4596,3.8592,2.3366,4.3137,1.0744,-25.5695,3.8938,2.2710,4.3025,1.0851,R,1.0990
-25.3402,4.0735,2.4399,4.2612,1.0508,-25.4993,4.0879,2.3081,4.2433,1.0726,L,3.7096
